station_name,timestamp,total_sessions,avg_occupancy,energy_kwh,revenue_inr,avg_temp,precipitation,congestion,month_year,rolling7d
Airport Terminal,2023-01-02,146,0.5069583333333333,4413.71,44759.51,21.59583333333333,25.25,0.8582916666666667,Jan 2023,146.0
Airport Terminal,2023-01-03,148,0.5139166666666667,3851.7000000000003,36467.32,22.141666666666666,9.52,0.8703333333333334,Jan 2023,147.0
Airport Terminal,2023-01-04,150,0.520875,4783.42,45145.06,21.791666666666668,0.06,0.8691249999999999,Jan 2023,148.0
Airport Terminal,2023-01-05,152,0.5276666666666666,4447.9800000000005,45684.34,22.070833333333336,8.68,0.858625,Jan 2023,149.0
Airport Terminal,2023-01-06,149,0.5172916666666666,4782.33,47513.91,21.866666666666664,5.59,0.8577500000000001,Jan 2023,149.0
Airport Terminal,2023-01-07,130,0.45133333333333336,3706.79,39476.76,22.320833333333336,7.18,0.8229166666666666,Jan 2023,145.8
Airport Terminal,2023-01-08,126,0.437375,3922.53,37670.92,22.045833333333334,0.39,0.8294583333333333,Jan 2023,143.0
Airport Terminal,2023-01-09,152,0.5277083333333333,4707.84,45706.01,22.474999999999998,1.14,0.8559583333333333,Jan 2023,143.9
Airport Terminal,2023-01-10,146,0.5069166666666667,4196.31,41059.78,21.8625,0.0,0.8452916666666667,Jan 2023,143.6
Airport Terminal,2023-01-11,150,0.5207499999999999,4310.96,45079.06,21.837500000000002,1.87,0.8517083333333333,Jan 2023,143.6
Airport Terminal,2023-01-12,147,0.510375,4252.2,42280.82,22.008333333333336,11.12,0.8602083333333334,Jan 2023,142.9
Airport Terminal,2023-01-13,147,0.5103333333333333,4951.77,49389.89,22.212500000000002,3.27,0.85825,Jan 2023,142.6
Airport Terminal,2023-01-14,119,0.41324999999999995,3573.47,35484.21,22.354166666666668,12.82,0.8249166666666667,Jan 2023,141.0
Airport Terminal,2023-01-15,118,0.40975,3423.28,35311.13,21.662499999999998,17.93,0.8260000000000001,Jan 2023,139.9
Airport Terminal,2023-01-16,151,0.524375,4842.08,48944.94,22.308333333333334,14.46,0.836125,Jan 2023,139.7
Airport Terminal,2023-01-17,149,0.51725,4506.35,46082.28,22.020833333333332,0.0,0.8543333333333334,Jan 2023,140.1
Airport Terminal,2023-01-18,153,0.53125,4852.42,50980.62,22.308333333333334,0.0,0.8602916666666666,Jan 2023,140.6
Airport Terminal,2023-01-19,150,0.5207916666666667,3992.96,40047.99,21.679166666666664,0.0,0.8519583333333333,Jan 2023,141.0
Airport Terminal,2023-01-20,149,0.5172916666666666,4440.05,44388.99,22.150000000000002,5.18,0.8482916666666666,Jan 2023,141.3
Airport Terminal,2023-01-21,120,0.416625,3599.06,36067.8,21.833333333333332,8.43,0.8485833333333334,Jan 2023,141.4
